assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerId,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
29,0.5,3,82,15,1,32,Daniel,8467875,Sedin,Daniel Sedin,L,VAN,-16,44,0.5365,6,14,20162017,0,0,23.4634,0.0694,216,1103.1219
0,0.4333,0,3,0,0,2,Tanner,8476911,Richard,Tanner Richard,C,TBL,-2,0,0.0,0,0,20162017,0,0,16.3333,0.0,1,762.3333
45,0.0,7,74,40,1,38,Nikita,8476453,Kucherov,Nikita Kucherov,R,TBL,13,85,1.1486,17,32,20162017,0,0,23.4459,0.1626,246,1166.4864
9,0.5238,0,81,6,0,16,Chris,8471762,VandeVelde,Chris VandeVelde,C,PHI,-5,15,0.1851,0,0,20162017,0,0,16.9382,0.0869,69,693.6666
4,0.4379,1,25,2,0,6,Adrian,8477960,Kempe,Adrian Kempe,L,LAK,-3,6,0.24,0,2,20162017,0,1,17.32,0.0625,32,733.84
11,0.5185,4,72,12,0,18,Nikolay,8473579,Kulemin,Nikolay Kulemin,L,NYI,3,23,0.3194,1,2,20162017,1,2,20.4444,0.1621,74,829.0416
18,0.4354,0,74,10,0,31,Vladislav,8476480,Namestnikov,Vladislav Namestnikov,C,TBL,-4,28,0.3783,3,6,20162017,0,1,18.8918,0.0877,114,887.0945
9,0.5175,1,38,1,0,16,Jacob,8475185,Josefson,Jacob Josefson,C,NJD,-1,10,0.2631,0,1,20162017,0,0,16.8947,0.0227,44,734.8421
7,0.3793,1,55,3,0,10,Logan,8476400,Shaw,Logan Shaw,C,ANA,3,10,0.1818,0,0,20162017,1,2,15.4181,0.0508,59,582.5454
11,0.0,1,80,3,0,43,Andrej,8477205,Sustr,Andrej Sustr,D,TBL,-10,14,0.175,0,0,20162017,0,0,22.6625,0.0322,93,1055.3375
6,0.3333,1,59,7,0,8,Matt,8476442,Nieto,Matt Nieto,L,"SJS, COL",-12,13,0.2203,0,0,20162017,0,1,20.5593,0.0823,85,895.4915
24,0.0,1,82,6,0,34,Ivan,8478500,Provorov,Ivan Provorov,D,PHI,-7,30,0.3658,0,5,20162017,0,0,28.5,0.0372,161,1318.6829
21,0.4518,6,75,30,1,38,Jonathan,8476539,Marchessault,Jonathan Marchessault,C,FLA,-21,51,0.68,8,18,20162017,0,0,20.8933,0.1554,193,1014.6533
4,0.0,1,16,1,1,4,Julius,8477945,Honka,Julius Honka,D,DAL,-4,5,0.3125,0,1,20162017,0,0,21.625,0.0294,34,1012.125
0,0.0,0,7,0,0,0,Casey,8478376,Bailey,Casey Bailey,R,OTT,-1,0,0.0,0,0,20162017,0,0,11.1428,0.0,10,479.7142
0,0.0,0,6,1,0,14,Dylan,8475795,McIlrath,Dylan McIlrath,D,"NYR, FLA",-2,1,0.1666,0,0,20162017,0,0,12.6666,0.3333,3,571.0
12,0.4032,4,76,19,1,70,Ryan,8477451,Hartman,Ryan Hartman,L,CHI,13,31,0.4078,1,1,20162017,0,0,17.0526,0.1117,170,766.0263
0,0.0,0,11,0,0,4,Casey,8479268,Nelson,Casey Nelson,D,BUF,-3,0,0.0,0,0,20162017,0,0,19.7272,0.0,10,756.2727
7,0.0,0,41,1,0,12,Alexey,8476289,Marchenko,Alexey Marchenko,D,"DET, TOR",7,8,0.1951,0,0,20162017,0,1,23.5121,0.0277,36,1017.0731
1,0.6666,0,24,2,0,4,Kyle,8476415,Rau,Kyle Rau,C,FLA,-3,3,0.125,0,0,20162017,0,0,13.5,0.0952,21,576.0
41,0.2142,3,82,20,2,56,Jakub,8474161,Voracek,Jakub Voracek,R,PHI,-24,61,0.7439,5,23,20162017,0,0,24.3292,0.079,253,1145.256
6,1.0,0,18,1,0,8,Remi,8477461,Elie,Remi Elie,L,DAL,5,7,0.3888,0,0,20162017,0,0,22.0,0.0666,15,937.5
2,0.1428,1,47,4,0,8,Roman,8479648,Lyubimov,Roman Lyubimov,L,PHI,-2,6,0.1276,0,0,20162017,0,0,14.5106,0.0975,41,574.7021
5,0.0,0,12,1,0,2,Brad,8476779,Hunt,Brad Hunt,D,"STL, NSH",-1,6,0.5,1,2,20162017,0,0,21.25,0.0714,14,870.0833
3,0.75,1,19,1,0,4,Marcus,8475834,Sorensen,Marcus Sorensen,L,SJS,-1,4,0.2105,0,0,20162017,0,0,16.6842,0.037,27,648.8421
0,0.0,0,9,0,0,19,Cody,8471760,Bass,Cody Bass,C,NSH,-1,0,0.0,0,0,20162017,0,0,11.0,0.0,1,406.0
1,0.0,0,14,2,0,18,Shane,8475597,Harper,Shane Harper,R,FLA,-1,3,0.2142,0,0,20162017,0,0,13.7857,0.1538,13,618.0
3,0.0,0,13,0,0,2,Gustav,8477467,Olofsson,Gustav Olofsson,D,MIN,-1,3,0.2307,0,1,20162017,0,0,17.0,0.0,7,808.923
44,0.5589,3,82,14,2,38,Claude,8473512,Giroux,Claude Giroux,C,PHI,-15,58,0.7073,5,31,20162017,0,1,24.9756,0.0703,199,1147.3414
0,0.0,0,4,0,0,0,Mason,8471664,Raymond,Mason Raymond,L,ANA,-2,0,0.0,0,0,20162017,0,0,13.25,0.0,3,534.5
9,0.0,0,66,3,0,51,Xavier,8476443,Ouellet,Xavier Ouellet,D,DET,2,12,0.1818,0,0,20162017,0,0,23.0151,0.0337,89,1078.3787
2,0.0,0,3,0,0,0,Clayton,8479343,Keller,Clayton Keller,C,ARI,-3,2,0.6666,0,1,20162017,0,0,17.0,0.0,0,760.0
2,0.5942,0,36,0,0,70,Andy,8476404,Andreoff,Andy Andreoff,L,LAK,-2,2,0.0555,0,0,20162017,0,0,14.6388,0.0,38,635.7777
24,0.375,2,82,16,0,32,Lee,8470740,Stempniak,Lee Stempniak,R,CAR,2,40,0.4878,2,6,20162017,0,0,20.7926,0.1221,131,950.6341
0,0.5,0,7,0,0,0,Tyler,8477479,Bertuzzi,Tyler Bertuzzi,L,DET,-1,0,0.0,0,0,20162017,0,0,12.8571,0.0,3,546.4285
0,0.0,0,3,0,0,2,Emerson,8475770,Etem,Emerson Etem,L,ANA,1,0,0.0,0,0,20162017,0,0,15.0,0.0,0,528.3333
43,0.5088,0,79,7,0,51,Joe,8466138,Thornton,Joe Thornton,C,SJS,7,50,0.6329,1,19,20162017,0,0,23.2278,0.0864,81,1083.6329
7,0.0,1,73,1,0,25,Yannick,8474134,Weber,Yannick Weber,D,NSH,1,8,0.1095,0,0,20162017,0,0,17.0547,0.0138,72,715.1917
0,0.48,0,4,0,0,0,Chandler,8476905,Stephenson,Chandler Stephenson,C,WSH,0,0,0.0,0,0,20162017,0,0,11.5,0.0,3,532.75
11,0.5353,1,17,9,0,14,Steven,8474564,Stamkos,Steven Stamkos,C,TBL,3,20,1.1764,3,7,20162017,0,0,21.5294,0.1551,58,1072.5882
6,0.0,2,65,12,1,56,Rene,8471504,Bourque,Rene Bourque,R,COL,-19,18,0.2769,2,2,20162017,0,0,18.9076,0.1081,111,836.6461
0,0.0,0,5,0,0,0,Brian,8474873,Lashoff,Brian Lashoff,D,DET,-3,0,0.0,0,0,20162017,0,0,18.6,0.0,1,750.8
12,0.0,1,82,5,0,82,Josh,8476312,Manson,Josh Manson,D,ANA,14,17,0.2073,0,0,20162017,1,2,23.3048,0.0568,88,1117.5487
