playerId,assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame,playerDraftYear,playerDraftOverallPickNo,Age,hits,blockedShots,faceoffs,faceoffsLost,faceoffsWon,giveaways,takeaways,missedShots
8476911,0,0.4333,0,3,0,0,2,Tanner,Richard,Tanner Richard,C,TBL,-2,0,0,0,0,20162017,0,0,16.3333,0,1,762.3333,2012,71,23,6,2,30,17,13,1,2,1
8476453,45,0,7,74,40,1,38,Nikita,Kucherov,Nikita Kucherov,R,TBL,13,85,1.1486,17,32,20162017,0,0,23.4459,0.1626,246,1166.4864,2011,58,23,30,20,0,0,0,64,54,102
8471762,9,0.5238,0,81,6,0,16,Chris,VandeVelde,Chris VandeVelde,C,PHI,-5,15,0.1851,0,0,20162017,0,0,16.9382,0.0869,69,693.6666,2005,97,29,114,60,42,20,22,12,14,19
8477960,4,0.4379,1,25,2,0,6,Adrian,Kempe,Adrian Kempe,L,LAK,-3,6,0.24,0,2,20162017,0,1,17.32,0.0625,32,733.84,2014,29,20,23,7,153,86,67,10,5,12
8473579,11,0.5185,4,72,12,0,18,Nikolay,Kulemin,Nikolay Kulemin,L,NYI,3,23,0.3194,1,2,20162017,1,2,20.4444,0.1621,74,829.0416,2006,44,30,78,45,27,13,14,17,30,41
8476480,18,0.4354,0,74,10,0,31,Vladislav,Namestnikov,Vladislav Namestnikov,C,TBL,-4,28,0.3783,3,6,20162017,0,1,18.8918,0.0877,114,887.0945,2011,27,23,72,31,480,271,209,26,14,42
8475185,9,0.5175,1,38,1,0,16,Jacob,Josefson,Jacob Josefson,C,NJD,-1,10,0.2631,0,1,20162017,0,0,16.8947,0.0227,44,734.8421,2009,20,25,31,12,313,151,162,9,7,28
8476400,7,0.3793,1,55,3,0,10,Logan,Shaw,Logan Shaw,C,ANA,3,10,0.1818,0,0,20162017,1,2,15.4181,0.0508,59,582.5454,2011,76,23,62,18,145,90,55,7,10,18
8477205,11,0,1,80,3,0,43,Andrej,Sustr,Andrej Sustr,D,TBL,-10,14,0.175,0,0,20162017,0,0,22.6625,0.0322,93,1055.3375,,,25,45,102,1,1,0,49,18,26
8476442,6,0.3333,1,59,7,0,8,Matt,Nieto,Matt Nieto,L,"SJS, COL",-12,13,0.2203,0,0,20162017,0,1,20.5593,0.0823,85,895.4915,2011,47,23,41,34,6,4,2,18,28,24
8478500,24,0,1,82,6,0,34,Ivan,Provorov,Ivan Provorov,D,PHI,-7,30,0.3658,0,5,20162017,0,0,28.5,0.0372,161,1318.6829,2015,7,19,111,166,0,0,0,81,23,59
8476539,21,0.4518,6,75,30,1,38,Jonathan,Marchessault,Jonathan Marchessault,C,FLA,-21,51,0.68,8,18,20162017,0,0,20.8933,0.1554,193,1014.6533,,,25,105,17,270,148,122,46,64,57
8477945,4,0,1,16,1,1,4,Julius,Honka,Julius Honka,D,DAL,-4,5,0.3125,0,1,20162017,0,0,21.625,0.0294,34,1012.125,2014,14,20,9,15,0,0,0,9,6,10
8478376,0,0,0,7,0,0,0,Casey,Bailey,Casey Bailey,R,OTT,-1,0,0,0,0,20162017,0,0,11.1428,0,10,479.7142,,,24,4,4,1,1,0,0,1,0
8475795,0,0,0,6,1,0,14,Dylan,McIlrath,Dylan McIlrath,D,"NYR, FLA",-2,1,0.1666,0,0,20162017,0,0,12.6666,0.3333,3,571,2010,10,24,15,4,0,0,0,3,1,3
8477451,12,0.4032,4,76,19,1,70,Ryan,Hartman,Ryan Hartman,L,CHI,13,31,0.4078,1,1,20162017,0,0,17.0526,0.1117,170,766.0263,2013,30,22,121,30,62,37,25,31,36,44
8479268,0,0,0,11,0,0,4,Casey,Nelson,Casey Nelson,D,BUF,-3,0,0,0,0,20162017,0,0,19.7272,0,10,756.2727,,,24,15,5,0,0,0,1,0,2
8476289,7,0,0,41,1,0,12,Alexey,Marchenko,Alexey Marchenko,D,"DET, TOR",7,8,0.1951,0,0,20162017,0,1,23.5121,0.0277,36,1017.0731,2011,205,24,22,59,0,0,0,22,5,23
8476415,1,0.6666,0,24,2,0,4,Kyle,Rau,Kyle Rau,C,FLA,-3,3,0.125,0,0,20162017,0,0,13.5,0.0952,21,576,2011,91,23,24,3,3,1,2,2,7,5
8474161,41,0.2142,3,82,20,2,56,Jakub,Voracek,Jakub Voracek,R,PHI,-24,61,0.7439,5,23,20162017,0,0,24.3292,0.079,253,1145.256,2007,7,27,30,22,14,11,3,56,24,93
8477461,6,1,0,18,1,0,8,Remi,Elie,Remi Elie,L,DAL,5,7,0.3888,0,0,20162017,0,0,22,0.0666,15,937.5,2013,40,21,30,11,1,0,1,13,12,8
8479648,2,0.1428,1,47,4,0,8,Roman,Lyubimov,Roman Lyubimov,L,PHI,-2,6,0.1276,0,0,20162017,0,0,14.5106,0.0975,41,574.7021,,,24,28,16,7,6,1,5,12,26
8476779,5,0,0,12,1,0,2,Brad,Hunt,Brad Hunt,D,"STL, NSH",-1,6,0.5,1,2,20162017,0,0,21.25,0.0714,14,870.0833,,,28,0,3,0,0,0,3,4,6
8475834,3,0.75,1,19,1,0,4,Marcus,Sorensen,Marcus Sorensen,L,SJS,-1,4,0.2105,0,0,20162017,0,0,16.6842,0.037,27,648.8421,2010,106,24,15,6,4,1,3,11,9,5
8471760,0,0,0,9,0,0,19,Cody,Bass,Cody Bass,C,NSH,-1,0,0,0,0,20162017,0,0,11,0,1,406,2005,95,29,14,4,2,2,0,1,2,0
