Season,Assists,FaceoffWinPctg,GameWinningGoals,GamesPlayed,Goals,OTGoals,PenaltyMinutes,PlayerFirstName,PlayerId,PlayerLastName,PlayerName,PlayerPositionCode,PlusMinus,Points,PPGoals,PPPoints,SHGoals,SHPoints,ShiftsPerGame,ShootingPctg,Shots,TeamAbbrev,TimeOnIcePerGame
20112012,6,0.00,0,42,0,0,16,Henrik,8466182,Tallinder,Henrik Tallinder,D,-12,6,0,1,0,0,26.2142,0.00,46,NULL,1269.7857
20112012,16,0.449,3,63,11,1,10,Tim,8472379,Stapleton,Tim Stapleton,C,-2,27,4,11,0,0,14.2857,0.1486,74,NULL,608.7777
20112012,0,0.7333,0,9,0,0,0,Patrice,8474616,Cormier,Patrice Cormier,C,1,0,0,0,0,0,9.8888,0.00,8,NULL,381.8888
20112012,19,0.4588,1,48,15,0,14,Tyler,8474589,Ennis,Tyler Ennis,C,11,34,2,4,0,0,19.6875,0.1829,82,NULL,969.8125
20112012,15,0.5263,1,67,16,0,34,David,8471266,Booth,David Booth,L,-6,31,3,8,0,0,20.9253,0.0963,166,NULL,901.1641
20112012,12,0.00,2,84,6,0,57,Johnny,8470187,Boychuk,Johnny Boychuk,D,28,18,1,1,0,0,25.8333,0.0326,184,NULL,1245.1309
20112012,21,0.00,0,66,5,0,49,Fedor,8469492,Tyutin,Fedor Tyutin,D,-21,26,1,12,0,1,29.5909,0.0403,124,NULL,1448.5606
20112012,6,0.3833,1,66,5,0,12,Kaspars,8473484,Daugavins,Kaspars Daugavins,L,-3,11,0,1,0,1,17.2878,0.0649,77,NULL,679.1212
20112012,10,0.5179,1,61,8,1,29,Matt,8470162,Stajan,Matt Stajan,C,-3,18,0,2,0,0,17.3278,0.1038,77,NULL,780.6229
20112012,7,0.438,1,82,6,0,57,Darroll,8473932,Powe,Darroll Powe,C,-20,13,0,0,0,0,20.1219,0.055,109,NULL,839.0243
20112012,34,0.3752,2,62,18,0,16,Ryan,8476454,Nugent-Hopkins,Ryan Nugent-Hopkins,C,-2,52,3,23,0,0,20.9838,0.1343,134,NULL,1056.3387
20112012,16,0.00,3,74,9,1,12,Sami,8465202,Salo,Sami Salo,D,4,25,7,14,0,0,28.0135,0.0638,141,NULL,1220.2702
20112012,7,0.4887,0,42,5,0,12,Brendan,8459461,Morrison,Brendan Morrison,C,-4,12,0,2,0,0,17.4285,0.102,49,NULL,795.738
20112012,0,1.00,0,3,0,0,2,Reilly,8475191,Smith,Reilly Smith,R,-3,0,0,0,0,0,13.00,0.00,2,NULL,504.00
20112012,36,0.3731,3,64,13,0,28,Alex,8467338,Tanguay,Alex Tanguay,L,7,49,1,15,1,2,23.0625,0.1547,84,NULL,1142.7343
20112012,10,0.4401,0,52,10,0,14,Luke,8474609,Adam,Luke Adam,C,-6,20,0,3,0,0,16.5384,0.1123,89,NULL,744.1153
20112012,0,0.00,0,10,0,0,8,Kevin,8474163,Marshall,Kevin Marshall,D,-1,0,0,0,0,0,13.80,0.00,6,NULL,525.60
20112012,2,0.2666,1,21,5,0,8,Nazem,8475172,Kadri,Nazem Kadri,C,2,7,1,1,0,0,18.1428,0.1785,28,NULL,849.5714
20112012,36,0.00,0,88,4,0,10,Nick,8475181,Leddy,Nick Leddy,D,-11,40,0,11,0,0,27.9318,0.0388,103,NULL,1316.534
20112012,18,0.5111,4,99,14,0,74,Brian,8470619,Boyle,Brian Boyle,C,2,32,0,1,0,1,20.7575,0.0707,198,NULL,929.707
20112012,38,0.00,3,96,11,1,48,Dennis,8469770,Wideman,Dennis Wideman,D,-15,49,4,22,0,0,27.0625,0.0555,198,NULL,1406.625
20112012,3,0.00,0,13,0,0,16,Matt,8474685,Calvert,Matt Calvert,L,-5,3,0,0,0,0,13.6153,0.00,4,NULL,547.6923
20112012,12,0.00,0,69,1,0,36,Michal,8465058,Rozsival,Michal Rozsival,D,5,13,0,0,0,0,24.9565,0.0166,60,NULL,1192.0869
20112012,1,0.00,0,4,0,0,0,Brandon,8476438,Saad,Brandon Saad,L,2,1,0,0,0,0,18.25,0.00,3,NULL,791.00
20112012,9,0.3225,3,59,10,1,31,Matt,8471851,D'Agostini,Matt D'Agostini,R,12,19,3,3,0,0,20.1694,0.0917,109,NULL,834.0169
20112012,4,0.4738,1,35,3,0,4,Jim,8474024,O'Brien,Jim O'Brien,C,6,7,0,0,0,0,16.8857,0.0681,44,NULL,667.7714
20112012,29,0.54,1,77,18,1,4,Kyle,8469581,Wellwood,Kyle Wellwood,C,3,47,4,10,0,0,18.2597,0.1935,93,NULL,897.1428
20112012,0,0.00,0,1,0,0,7,Zack,8470687,Stortini,Zack Stortini,R,0,0,0,0,0,0,11.00,0.00,1,NULL,293.00
20112012,27,0.4597,2,75,14,0,137,Steve,8471703,Downie,Steve Downie,R,-6,41,2,6,0,0,18.9333,0.10,140,NULL,955.8933
20112012,0,1.00,0,9,1,0,8,Alexandre,8468086,Giroux,Alexandre Giroux,L,-2,1,0,0,0,0,17.00,0.0555,18,NULL,731.7777
